Timestamp,Texture1,Texture2,Texture3,Texture4,Texture5,Texture6,Texture7,Texture8
2023-09-20 10:35:51.480,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:35:51.682,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:35:51.883,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:35:52.084,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:35:52.285,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:35:52.487,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:35:52.689,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:35:52.892,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:35:53.092,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:35:53.293,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:53.493,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:53.695,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:53.897,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:54.098,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:54.300,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:54.502,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:54.703,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:54.906,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:55.108,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:55.310,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:55.512,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:55.713,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:55.912,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:56.114,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:56.316,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:56.519,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:56.723,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:56.926,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:57.126,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:57.328,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:57.531,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:57.733,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:57.933,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:58.134,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:58.336,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:58.538,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:58.740,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:58.941,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:59.143,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:59.344,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:59.545,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:35:59.802,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:00.003,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:00.204,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:00.407,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:00.608,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:00.808,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:01.009,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:01.285,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:01.484,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:01.684,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:01.887,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:02.090,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:02.293,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:02.495,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:02.697,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:02.898,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
