Time,X,Y,Z
2023-09-19 20:03:36.073,20.43,38.89392,30.6
2023-09-19 20:03:36.279,20.43222,38.68338,30.60379
2023-09-19 20:03:36.501,20.43226,38.68336,30.60386
2023-09-19 20:03:36.704,20.43226,38.68335,30.60387
2023-09-19 20:03:36.914,20.43226,38.68335,30.60387
2023-09-19 20:03:37.122,20.43226,38.68335,30.60387
2023-09-19 20:03:37.332,20.43226,38.68335,30.60387
2023-09-19 20:03:37.542,20.43226,38.68335,30.60387
2023-09-19 20:03:37.751,20.43226,38.68335,30.60387
2023-09-19 20:03:37.960,20.43226,38.68335,30.60387
2023-09-19 20:03:38.168,20.43226,38.68335,30.60387
2023-09-19 20:03:38.377,20.42929,38.55665,31.30752
2023-09-19 20:03:38.586,20.42628,38.45571,31.76556
2023-09-19 20:03:38.781,20.44247,38.41773,32.19296
2023-09-19 20:03:38.990,20.49053,38.36932,32.98705
2023-09-19 20:03:39.198,20.59484,38.41112,33.73902
2023-09-19 20:03:39.406,20.74289,38.39467,34.41366
2023-09-19 20:03:39.628,20.94569,38.26556,35.23984
2023-09-19 20:03:39.850,21.09539,38.1795,35.92564
2023-09-19 20:03:40.060,21.20932,38.25737,36.60733
2023-09-19 20:03:40.269,21.27213,38.30172,37.41664
2023-09-19 20:03:40.477,21.35648,38.39581,38.29218
2023-09-19 20:03:40.687,21.45626,38.52676,39.01517
2023-09-19 20:03:40.896,21.54064,38.60285,39.74857
2023-09-19 20:03:41.118,21.61766,38.66967,40.50418
2023-09-19 20:03:41.341,21.68636,38.74861,41.05085
2023-09-19 20:03:41.550,21.68744,38.75094,41.05048
2023-09-19 20:03:41.761,21.68752,38.7509,41.05045
2023-09-19 20:03:41.969,21.68752,38.7509,41.05045
2023-09-19 20:03:42.178,21.68752,38.7509,41.05045
2023-09-19 20:03:42.386,21.68752,38.7509,41.05045
2023-09-20 10:35:45.959,20.43,38.94101,30.6
2023-09-20 10:35:46.164,20.43221,38.68337,30.60378
2023-09-20 10:35:46.366,20.43225,38.68336,30.60385
2023-09-20 10:35:46.569,20.43227,38.68335,30.60387
2023-09-20 10:35:46.776,20.43231,38.68333,30.60395
2023-09-20 10:35:46.979,20.43235,38.68331,30.60402
2023-09-20 10:35:47.188,20.43238,38.68329,30.6041
2023-09-20 10:35:47.388,20.43242,38.68327,30.60417
2023-09-20 10:35:47.594,20.43246,38.68325,30.60424
2023-09-20 10:35:47.799,20.47531,38.67337,30.63913
2023-09-20 10:35:48.004,20.86316,38.56796,30.9173
2023-09-20 10:35:48.213,21.20428,38.51947,31.56574
2023-09-20 10:35:48.422,21.85786,38.32328,32.00724
2023-09-20 10:35:48.632,22.07139,38.28605,32.10149
2023-09-20 10:35:48.838,22.01868,38.28603,32.09618
2023-09-20 10:35:49.047,21.51293,38.30806,32.13601
2023-09-20 10:35:49.252,20.68584,38.34084,32.35482
2023-09-20 10:35:49.458,20.35728,38.39263,32.51957
2023-09-20 10:35:49.664,20.39675,38.38746,32.48513
2023-09-20 10:35:49.866,20.803,38.3622,32.13264
2023-09-20 10:35:50.069,21.49748,38.39868,31.54719
2023-09-20 10:35:50.270,21.92192,38.42091,31.56951
2023-09-20 10:35:50.470,21.92374,38.46134,31.59997
2023-09-20 10:35:50.671,21.85398,38.42625,31.60631
2023-09-20 10:35:50.873,21.85397,38.42623,31.60637
2023-09-20 10:35:51.075,21.85394,38.42621,31.60644
2023-09-20 10:35:51.277,21.85393,38.4262,31.60651
2023-09-20 10:35:51.480,21.80508,38.37572,31.79166
2023-09-20 10:35:51.682,21.62406,38.26133,32.4332
2023-09-20 10:35:51.883,21.52022,38.22312,32.80293
2023-09-20 10:35:52.084,21.51868,38.22113,32.80827
2023-09-20 10:35:52.285,21.61339,38.24616,32.46368
2023-09-20 10:35:52.487,21.80227,38.34715,31.79549
2023-09-20 10:35:52.689,21.85674,38.42584,31.60399
2023-09-20 10:35:52.892,21.77703,38.35172,31.90633
2023-09-20 10:35:53.092,21.58219,38.245,32.59699
2023-09-20 10:35:53.293,21.49227,38.21231,32.9239
2023-09-20 10:35:53.493,21.49035,38.21043,32.93058
2023-09-20 10:35:53.695,21.49037,38.21042,32.93062
2023-09-20 10:35:53.897,21.49037,38.21042,32.93063
2023-09-20 10:35:54.098,21.49037,38.21042,32.93063
2023-09-20 10:35:54.300,21.49037,38.21042,32.93063
2023-09-20 10:35:54.502,21.49037,38.21042,32.93063
2023-09-20 10:35:54.703,21.49037,38.21042,32.93063
2023-09-20 10:35:54.906,21.49037,38.21042,32.93063
2023-09-20 10:35:55.108,21.49037,38.21042,32.93063
2023-09-20 10:35:55.310,21.49037,38.21042,32.93063
2023-09-20 10:35:55.512,21.49037,38.21042,32.93063
2023-09-20 10:35:55.713,21.49037,38.21042,32.93063
2023-09-20 10:35:55.912,21.49037,38.21042,32.93063
2023-09-20 10:35:56.114,21.49037,38.21042,32.93063
2023-09-20 10:35:56.316,21.49037,38.21042,32.93063
2023-09-20 10:35:56.519,21.49037,38.21042,32.93063
2023-09-20 10:35:56.723,21.49037,38.21042,32.93063
2023-09-20 10:35:56.926,21.49037,38.21042,32.93063
2023-09-20 10:35:57.126,21.49037,38.21042,32.93063
2023-09-20 10:35:57.328,21.49037,38.21042,32.93063
2023-09-20 10:35:57.531,21.49037,38.21042,32.93063
2023-09-20 10:35:57.733,21.49037,38.21042,32.93063
2023-09-20 10:35:57.933,21.49037,38.21042,32.93063
2023-09-20 10:35:58.134,21.49037,38.21042,32.93063
2023-09-20 10:35:58.336,21.49037,38.21042,32.93063
